url_num,code,content-length,ms,isp,source
1,200,22539,895.546197891235,twcny,adn
1,200,22539,287.424802780151,twcny,adn
1,200,22539,284.701108932495,twcny,adn
1,200,22539,273.823976516724,twcny,adn
1,200,22538,270.836114883423,twcny,adn
1,200,22539,339.188814163208,twcny,adn
1,200,22539,262.363910675049,twcny,adn
1,200,22539,486.982107162476,twcny,adn
1,200,22539,297.476053237915,twcny,adn
1,200,22539,324.459075927734,twcny,adn
1,200,22538,264.763832092285,twcny,adn
1,200,22539,326.835870742798,twcny,adn
1,200,22539,293.277978897095,twcny,adn
1,200,22539,341.72511100769,twcny,adn
1,200,22539,296.700000762939,twcny,adn
1,200,22539,283.098936080933,twcny,adn
1,200,22538,284.250020980835,twcny,adn
1,200,22539,298.460006713867,twcny,adn
1,200,22539,277.391910552979,twcny,adn
1,200,22539,293.425798416138,twcny,adn
1,200,22539,265.31195640564,twcny,adn
1,200,22539,468.877077102661,twcny,adn
1,200,22540,411.442995071411,twcny,adn
1,200,22539,338.613986968994,twcny,adn
1,200,22538,275.092124938965,twcny,adn
1,200,22538,276.784896850586,twcny,adn
1,200,22539,287.063837051392,twcny,adn
1,200,22539,308.947086334229,twcny,adn
1,200,22539,366.765975952148,twcny,adn
1,200,22539,378.767013549805,twcny,adn
1,200,22539,306.429147720337,twcny,adn
1,200,22538,475.170135498047,twcny,adn
1,200,22538,281.970977783203,twcny,adn
1,200,22539,765.450000762939,twcny,adn
1,200,22538,264.908790588379,twcny,adn
1,200,22538,301.954030990601,twcny,adn
1,200,22538,271.942138671875,twcny,adn
1,200,22539,299.976110458374,twcny,adn
1,200,22538,278.228998184204,twcny,adn
1,200,22539,319.868803024292,twcny,adn
1,200,22539,280.29203414917,twcny,adn
1,200,22539,280.371904373169,twcny,adn
1,200,22538,280.356168746948,twcny,adn
1,200,22539,393.423080444336,twcny,adn
1,200,22539,291.7640209198,twcny,adn
1,200,22539,489.641189575195,twcny,adn
1,200,22539,268.841981887817,twcny,adn
1,200,22538,277.567148208618,twcny,adn
1,200,22538,276.659965515137,twcny,adn
1,200,22538,272.336959838867,twcny,adn
1,200,22538,267.12703704834,twcny,adn
1,200,22539,268.77498626709,twcny,adn
1,200,22539,285.301923751831,twcny,adn
1,200,22539,275.651931762695,twcny,adn
1,200,22538,283.631801605225,twcny,adn
1,200,22539,276.999950408936,twcny,adn
1,200,22539,271.249055862427,twcny,adn
1,200,22538,304.610967636108,twcny,adn
1,200,22539,340.359926223755,twcny,adn
1,200,22539,306.918859481812,twcny,adn
1,200,22539,299.462795257568,twcny,adn
1,200,22538,264.209985733032,twcny,adn
1,200,22539,265.161037445068,twcny,adn
1,200,22538,294.480800628662,twcny,adn
1,200,22539,274.975061416626,twcny,adn
1,200,22538,278.975963592529,twcny,adn
1,200,22538,269.606828689575,twcny,adn
1,200,22539,304.831027984619,twcny,adn
1,200,22539,294.50511932373,twcny,adn
1,200,22539,326.793909072876,twcny,adn
1,200,22539,304.43811416626,twcny,adn
1,200,22539,372.009992599487,twcny,adn
1,200,22539,271.732091903687,twcny,adn
1,200,22539,474.591016769409,twcny,adn
1,200,22538,264.133930206299,twcny,adn
1,200,22539,271.791934967041,twcny,adn
1,200,22539,329.644918441772,twcny,adn
1,200,22539,284.497022628784,twcny,adn
1,200,22539,674.317836761475,twcny,adn
1,200,22539,303.012132644653,twcny,adn
1,200,22539,294.35920715332,twcny,adn
1,200,22538,268.836975097656,twcny,adn
1,200,22539,276.74388885498,twcny,adn
1,200,22539,273.571014404297,twcny,adn
1,200,22538,476.468086242676,twcny,adn
1,200,22539,307.440996170044,twcny,adn
1,200,22539,287.026882171631,twcny,adn
1,200,22539,335.767984390259,twcny,adn
1,200,22539,319.530010223389,twcny,adn
1,200,22539,267.328023910522,twcny,adn
1,200,22539,390.664100646973,twcny,adn
1,200,22539,332.322120666504,twcny,adn
1,200,22538,274.730920791626,twcny,adn
1,200,22539,346.352815628052,twcny,adn
1,200,22539,545.977115631104,twcny,adn
1,200,22539,279.809951782227,twcny,adn
1,200,22539,481.955051422119,twcny,adn
1,200,22538,288.104057312012,twcny,adn
1,200,22539,274.300098419189,twcny,adn
1,200,22539,276.262044906616,twcny,adn
1,200,22539,267.215013504028,twcny,adn
1,200,22539,276.688098907471,twcny,adn
1,200,22539,269.408941268921,twcny,adn
1,200,22539,327.961921691895,twcny,adn
1,200,22539,275.033950805664,twcny,adn
1,200,22538,265.413999557495,twcny,adn
1,200,22539,324.505805969238,twcny,adn
1,200,22539,293.98512840271,twcny,adn
1,200,22539,280.833005905151,twcny,adn
1,200,22539,274.057865142822,twcny,adn
1,200,22539,319.320201873779,twcny,adn
1,200,22539,273.343086242676,twcny,adn
1,200,22539,294.39902305603,twcny,adn
1,200,22538,312.033176422119,twcny,adn
1,200,22539,287.323951721191,twcny,adn
1,200,22539,270.655155181885,twcny,adn
1,200,22538,284.677028656006,twcny,adn
1,200,22539,284.387111663818,twcny,adn
1,200,22539,285.048007965088,twcny,adn
1,200,22539,489.961862564087,twcny,adn
1,200,22539,268.298864364624,twcny,adn
1,200,22539,262.573957443237,twcny,adn
1,200,22539,316.96605682373,twcny,adn
1,200,22539,512.320041656494,twcny,adn
1,200,22539,259.926080703735,twcny,adn
1,200,22539,485.183000564575,twcny,adn
1,200,22539,299.060106277466,twcny,adn
1,200,22539,279.381036758423,twcny,adn
1,200,22539,265.649795532227,twcny,adn
1,200,22539,292.163848876953,twcny,adn
1,200,22538,302.116870880127,twcny,adn
1,200,22538,275.975942611694,twcny,adn
1,200,22539,298.513889312744,twcny,adn
1,200,22538,275.728225708008,twcny,adn
1,200,22539,263.629198074341,twcny,adn
1,200,22539,270.071029663086,twcny,adn
1,200,22538,278.007984161377,twcny,adn
1,200,22539,290.436029434204,twcny,adn
1,200,22539,342.85306930542,twcny,adn
1,200,22538,259.77087020874,twcny,adn
1,200,22539,366.688966751099,twcny,adn
1,200,22539,327.250957489014,twcny,adn
1,200,22538,280.424833297729,twcny,adn
1,200,22539,309.982061386108,twcny,adn
1,200,22539,302.529811859131,twcny,adn
1,200,22538,283.223867416382,twcny,adn
1,200,22539,327.100992202759,twcny,adn
1,200,22537,301.383018493652,twcny,adn
1,200,22539,271.097898483276,twcny,adn
1,200,22539,279.877901077271,twcny,adn
1,200,22539,268.272876739502,twcny,adn
1,200,22538,284.501075744629,twcny,adn
1,200,22539,262.023210525513,twcny,adn
1,200,22539,678.037881851196,twcny,adn
1,200,22539,279.5729637146,twcny,adn
1,200,22539,270.546913146973,twcny,adn
1,200,22539,278.290033340454,twcny,adn
1,200,22539,276.968955993652,twcny,adn
1,200,22539,502.232074737549,twcny,adn
1,200,22539,270.760059356689,twcny,adn
1,200,22539,271.406173706055,twcny,adn
1,200,22539,291.97096824646,twcny,adn
1,200,22539,333.172082901001,twcny,adn
1,200,22539,265.139818191528,twcny,adn
1,200,22538,268.22304725647,twcny,adn
1,200,22539,520.876884460449,twcny,adn
1,200,22539,293.478012084961,twcny,adn
1,200,22539,281.863927841187,twcny,adn
1,200,22539,298.253059387207,twcny,adn
1,200,22539,287.230968475342,twcny,adn
1,200,22539,266.497850418091,twcny,adn
1,200,22539,287.77813911438,twcny,adn
1,200,22539,503.875017166138,twcny,adn
1,200,22539,325.294971466064,twcny,adn
1,200,22539,282.902956008911,twcny,adn
1,200,22539,314.350128173828,twcny,adn
1,200,22539,271.826982498169,twcny,adn
1,200,22539,289.036989212036,twcny,adn
1,200,22539,266.474008560181,twcny,adn
1,200,22539,280.405044555664,twcny,adn
1,200,22539,304.747104644775,twcny,adn
1,200,22538,288.088798522949,twcny,adn
1,200,22539,271.406888961792,twcny,adn
1,200,22539,272.055864334106,twcny,adn
1,200,22539,479.586124420166,twcny,adn
1,200,22539,277.337789535522,twcny,adn
1,200,22539,494.127988815308,twcny,adn
1,200,22539,353.564977645874,twcny,adn
1,200,22539,281.213998794556,twcny,adn
1,200,22539,494.696855545044,twcny,adn
1,200,22538,266.396999359131,twcny,adn
1,200,22538,263.235092163086,twcny,adn
1,200,22538,270.056962966919,twcny,adn
1,200,22538,290.053129196167,twcny,adn
1,200,22537,295.085191726685,twcny,adn
1,200,22539,299.865007400513,twcny,adn
1,200,22539,386.411905288696,twcny,adn
1,200,22538,273.859977722168,twcny,adn
1,200,22539,486.447095870972,twcny,adn
1,200,22538,263.132095336914,twcny,adn
1,200,22539,265.086889266968,twcny,adn
1,200,22539,306.371927261353,twcny,adn
1,200,22539,497.306108474731,twcny,adn
1,200,22539,300.277948379517,twcny,adn
1,200,22538,272.52197265625,twcny,adn
1,200,22539,471.80700302124,twcny,adn
1,200,22539,292.155981063843,twcny,adn
1,200,22538,287.260055541992,twcny,adn
1,200,22538,286.695957183838,twcny,adn
1,200,22539,309.242010116577,twcny,adn
1,200,22538,281.31103515625,twcny,adn
1,200,22539,333.853960037231,twcny,adn
